date_visit,n_people,amount_fee
2023/11/19,0,0
2023/11/20,0,0
2023/11/21,0,0
2023/11/22,0,0
2023/11/23,0,0
2023/11/24,0,0
2023/11/25,0,0
2023/11/26,0,0
2023/11/27,0,0
2023/11/28,0,0
2023/11/29,0,0
2023/11/30,0,0
2023/12/1,0,0
2023/12/2,0,0
2023/12/3,0,0
2023/12/4,0,0
2023/12/5,0,0
2023/12/6,0,0
2023/12/7,0,0
2023/12/8,0,0
2023/12/9,0,0
2023/12/10,0,0
2023/12/11,0,0
2023/12/12,0,0
2023/12/13,0,0
2023/12/14,0,0
2023/12/15,0,0
2023/12/16,0,0
2023/12/17,0,0
2023/12/18,0,0
2023/12/19,0,0
2023/12/20,0,0
2023/12/21,0,0
2023/12/22,0,0
2023/12/23,0,0
2023/12/24,0,0
2023/12/25,0,0
2023/12/26,0,0
2023/12/27,0,0
2023/12/28,0,0
2023/12/29,0,0
2023/12/30,0,0
2023/12/31,0,0
2024/1/1,0,0
2024/1/2,0,0
2024/1/3,0,0
2024/1/4,0,0
2024/1/5,0,0
2024/1/6,0,0
2024/1/7,0,0
2024/1/8,0,0
2024/1/9,0,0
2024/1/10,0,0
2024/1/11,0,0
2024/1/12,0,0
2024/1/13,0,0
2024/1/14,0,0
2024/1/15,0,0
2024/1/16,0,0
2024/1/17,0,0
